,cell_specimen_id,tld1_name,imaging_depth,pref_ori_sg,pref_sf_sg,g_osi_sg,responsive_sg,depth_range,pref_phase_sg
330,662269470,Rorb-IRES2-Cre,275.0,0.0,0.02,0.74462188328,True,200.0,0.25
331,662269449,Rorb-IRES2-Cre,275.0,90.0,0.04,0.630570875338,False,200.0,0.0
332,662269783,Rorb-IRES2-Cre,275.0,60.0,0.02,0.267662643727,False,200.0,0.5
334,662269424,Rorb-IRES2-Cre,275.0,120.0,0.16,0.296682924087,False,200.0,0.0
335,662269584,Rorb-IRES2-Cre,275.0,90.0,0.04,0.246101819467,False,200.0,0.0
336,662270144,Rorb-IRES2-Cre,275.0,30.0,0.08,0.436746350684,False,200.0,0.5
337,662269578,Rorb-IRES2-Cre,275.0,60.0,0.02,0.343230779712,True,200.0,0.75
338,662269120,Rorb-IRES2-Cre,275.0,60.0,0.08,0.750930759016,False,200.0,0.5
339,662268814,Rorb-IRES2-Cre,275.0,120.0,0.08,0.710033222477,False,200.0,0.25
340,662270037,Rorb-IRES2-Cre,275.0,30.0,0.32,0.842098234628,False,200.0,0.25
341,662268793,Rorb-IRES2-Cre,275.0,60.0,0.04,0.885061453101,True,200.0,0.0
342,662269141,Rorb-IRES2-Cre,275.0,120.0,0.04,0.528794634488,False,200.0,0.25
343,662269310,Rorb-IRES2-Cre,275.0,150.0,0.04,0.713374995091,False,200.0,0.5
344,662268849,Rorb-IRES2-Cre,275.0,90.0,0.04,0.5935828653,False,200.0,0.0
346,662269289,Rorb-IRES2-Cre,275.0,120.0,0.08,0.73761853049,False,200.0,0.75
347,662269527,Rorb-IRES2-Cre,275.0,0.0,0.16,0.525464711226,True,200.0,0.0
349,662269317,Rorb-IRES2-Cre,275.0,30.0,0.02,0.857123385636,True,200.0,0.75
350,662269324,Rorb-IRES2-Cre,275.0,60.0,0.02,0.327593454673,False,200.0,0.25
351,662269331,Rorb-IRES2-Cre,275.0,0.0,0.02,0.824798863507,False,200.0,0.25
352,662269846,Rorb-IRES2-Cre,275.0,0.0,0.02,0.280423527407,True,200.0,0.75
354,662270176,Rorb-IRES2-Cre,275.0,60.0,0.04,0.923321169837,False,200.0,0.75
355,662269795,Rorb-IRES2-Cre,275.0,30.0,0.04,0.216660177373,False,200.0,0.0
358,662269860,Rorb-IRES2-Cre,275.0,30.0,0.04,0.718847259015,True,200.0,0.0
360,662270170,Rorb-IRES2-Cre,275.0,120.0,0.04,0.751202271504,False,200.0,0.75
361,662269560,Rorb-IRES2-Cre,275.0,0.0,0.02,0.544875616916,True,200.0,0.75
363,662269541,Rorb-IRES2-Cre,275.0,150.0,0.02,0.422975888055,False,200.0,0.25
364,662270109,Rorb-IRES2-Cre,275.0,0.0,0.08,0.729272592999,False,200.0,0.25
365,662269106,Rorb-IRES2-Cre,275.0,90.0,0.08,0.630794785513,False,200.0,0.75
367,662270009,Rorb-IRES2-Cre,275.0,30.0,0.02,0.576029711429,True,200.0,0.75
370,585071547,Vip-IRES-Cre,275.0,120.0,0.02,0.08505303369,False,200.0,0.0
372,585071555,Vip-IRES-Cre,275.0,60.0,0.02,0.536562036942,False,200.0,0.0
375,585071494,Vip-IRES-Cre,275.0,60.0,0.32,0.234755724754,False,200.0,0.0
378,585071459,Vip-IRES-Cre,275.0,60.0,0.02,0.378101790281,True,200.0,0.75
379,585071487,Vip-IRES-Cre,275.0,120.0,0.02,0.314787043097,False,200.0,0.25
380,585071452,Vip-IRES-Cre,275.0,60.0,0.02,0.222539948509,False,200.0,0.25
382,585071445,Vip-IRES-Cre,275.0,60.0,0.02,0.338073088616,False,200.0,0.25
384,557374817,Rbp4-Cre_KL100,375.0,90.0,0.32,0.620968380239,False,300.0,0.5
386,557374807,Rbp4-Cre_KL100,375.0,120.0,0.04,0.389657692228,True,300.0,0.75
387,557374802,Rbp4-Cre_KL100,375.0,30.0,0.04,0.465482611137,False,300.0,0.0
388,557374843,Rbp4-Cre_KL100,375.0,60.0,0.16,0.545116042639,False,300.0,0.0
389,557374832,Rbp4-Cre_KL100,375.0,150.0,0.08,0.753358395588,False,300.0,0.0
392,557374836,Rbp4-Cre_KL100,375.0,60.0,0.02,0.364189527009,False,300.0,0.5
393,557374653,Rbp4-Cre_KL100,375.0,120.0,0.32,0.191015867052,False,300.0,0.25
394,557374683,Rbp4-Cre_KL100,375.0,60.0,0.16,0.23438608171,False,300.0,0.75
395,557374658,Rbp4-Cre_KL100,375.0,0.0,0.32,0.445086582954,False,300.0,0.0
396,557374645,Rbp4-Cre_KL100,375.0,90.0,0.16,0.319853275843,False,300.0,0.5
397,557374787,Rbp4-Cre_KL100,375.0,0.0,0.16,0.449860360036,False,300.0,0.75
398,557374719,Rbp4-Cre_KL100,375.0,90.0,0.08,0.642064548827,False,300.0,0.75
399,557374782,Rbp4-Cre_KL100,375.0,0.0,0.32,0.251337371937,False,300.0,0.75
400,557374714,Rbp4-Cre_KL100,375.0,120.0,0.32,0.426151537094,False,300.0,0.0
401,557374792,Rbp4-Cre_KL100,375.0,0.0,0.02,0.285709672692,False,300.0,0.75
402,557374797,Rbp4-Cre_KL100,375.0,60.0,0.32,0.242590342948,False,300.0,0.75
403,557374707,Rbp4-Cre_KL100,375.0,30.0,0.02,0.677096226066,False,300.0,0.75
404,557374678,Rbp4-Cre_KL100,375.0,90.0,0.16,0.469311583387,False,300.0,0.75
405,517401244,Rorb-IRES2-Cre,275.0,60.0,0.32,0.477272081524,False,200.0,0.5
407,517401085,Rorb-IRES2-Cre,275.0,0.0,0.08,0.613336938187,False,200.0,0.75
